a1,a2,a3,a4,load,failure
5.178407627343757,5.534029541830427,5.368494144127811,5.66596812700873,30.0,1
4.277514998388438,4.039146402607083,4.119412468240367,4.148620882113074,30.0,1
2.874628064707476,3.4744010352032175,3.175718137453408,2.920996303622954,30.0,1
3.390684125060099,3.4551176732878193,2.9701116035872492,3.334487065658925,30.0,1
3.8681690562826505,3.9797199583234413,3.621905205607483,4.327168116064904,30.0,1
3.9041860490294877,2.7545479672598283,2.2483718070356193,2.5606054179597897,30.0,1
2.671972794339765,2.8224972642169406,2.35723551780349,2.2316536097020725,30.0,1
1.9650425225126167,2.8595193873676097,2.5330178144546918,2.899973914972167,30.0,1
4.604542065583842,4.067923713357318,3.4792245120093996,4.218426872606631,30.0,1
3.710731328237463,3.2998346036297854,2.726829149163919,2.7250260939325175,30.0,1
5.36135182253308,4.462849184534171,4.330668662943427,4.028602390096608,30.0,1
4.111923466242006,3.7114000133245204,3.653704028019497,4.773932825148973,30.0,1
4.061991165962956,3.8064987959541807,3.5388844190600435,4.191240990795689,30.0,1
5.861219141718332,4.737005618728038,5.134978392334641,5.850914373436067,30.0,1
4.337281450102711,3.6420447960023226,3.4315856961263376,2.955889048806654,30.0,1
3.283647077624262,3.1318225042357564,3.035165579623177,2.7843614345443184,30.0,1
3.2481784078918525,2.4575674970888954,2.2339425783686986,1.9619572705060622,30.0,1
2.703472662520377,3.1098402601019166,2.8940438054148894,3.790445368144325,30.0,1
3.109341723686135,3.369895928508259,2.6797056839034568,2.913693182873233,30.0,1
3.2052237497342113,3.6090613245285463,2.426231483289482,2.6490314763581315,30.0,1
5.5380405296490505,5.216354227724429,5.169942476716521,6.831605249214152,30.0,1
4.751005991295732,3.455171509650889,4.012949793782306,3.739340972878744,30.0,1
4.325104701197814,3.682988609906308,3.7935991901011112,3.878646055431144,30.0,1
5.164969856037759,4.4007460535636485,5.312543997373513,4.211850947488417,30.0,1
3.109790327715399,4.0812144610934356,3.968973657782232,3.2406755328377326,30.0,1
4.333034421565474,3.4910766076976754,3.5794100229039616,3.2466503507916253,30.0,1
6.2729773586225095,5.047013810645191,4.70960526063556,4.126201175786973,30.0,1
4.430696618279736,3.730356329819245,3.278798724946709,3.453256022930019,30.0,1
3.3714621153524376,4.009256164000829,3.811061554395707,3.388310956022756,30.0,1
4.2396669371222,3.6900885118698987,3.7081110741240964,3.8463960778446453,30.0,1
4.315555992119385,4.311532431100093,3.6609320923894257,4.423714248187514,30.0,1
3.3695808238603564,3.454156332455406,2.855534785583156,3.5338474338885137,30.0,1
