,Bearing 1,Bearing 2,Bearing 3,Bearing 4
0,-0.005,-0.015,0.012,-0.055999999999999994
1,-0.071,0.127,-0.11199999999999999,-0.107
2,-0.076,0.095,-0.134,-0.095
3,0.061,0.127,-0.076,-0.1
4,0.251,0.068,-0.044000000000000004,0.006999999999999999
5,0.139,0.034,0.034,0.02
6,-0.1,0.17300000000000001,-0.02,-0.017
7,-0.105,0.051,-0.042,-0.105
8,0.17300000000000001,0.1,0.046,-0.061
9,0.122,0.01,0.085,0.049
10,-0.168,-0.042,0.005,0.078
11,-0.23199999999999998,-0.037000000000000005,0.2,0.012
12,-0.081,-0.006999999999999999,0.149,-0.044000000000000004
13,0.027000000000000003,-0.037000000000000005,0.073,-0.032
14,-0.017,0.0,-0.01,0.073
15,-0.12,-0.073,0.09300000000000001,0.20800000000000002
16,-0.015,-0.09,0.171,0.17800000000000002
17,0.18100000000000002,-0.01,0.195,-0.032
18,0.125,0.032,-0.039,-0.09300000000000001
19,0.076,-0.015,-0.028999999999999998,-0.034
20,0.027000000000000003,0.027000000000000003,0.17800000000000002,-0.015
21,-0.017,0.076,0.081,-0.002
22,0.055999999999999994,0.132,-0.071,-0.027000000000000003
23,0.0,0.063,-0.044000000000000004,-0.017
24,-0.049,0.068,0.11199999999999999,-0.054000000000000006
25,0.028999999999999998,0.066,-0.078,-0.139
26,0.10300000000000001,0.151,-0.12,-0.059000000000000004
27,0.154,0.107,-0.22699999999999998,-0.017
28,-0.028999999999999998,0.055999999999999994,0.083,0.0
29,-0.134,0.002,0.14400000000000002,-0.027000000000000003
30,-0.022000000000000002,-0.073,-0.115,-0.059000000000000004
31,-0.034,-0.081,-0.22699999999999998,-0.037000000000000005
32,-0.142,0.02,-0.012,0.015
33,-0.19,-0.042,-0.042,0.105
34,-0.18100000000000002,-0.09,-0.17600000000000002,0.032
35,-0.051,-0.127,-0.11,-0.01
36,0.044000000000000004,-0.063,0.02,-0.022000000000000002
37,0.054000000000000006,-0.032,0.11699999999999999,0.061
38,0.024,-0.054000000000000006,-0.122,0.005
39,0.081,-0.154,0.006999999999999999,0.0
40,0.061,-0.049,-0.042,0.005
41,-0.01,0.1,0.055999999999999994,0.028999999999999998
42,-0.032,0.125,0.0,0.042
43,0.037000000000000005,-0.002,-0.139,0.061
44,0.032,-0.13699999999999998,0.017,0.078
45,-0.024,-0.034,0.23199999999999998,0.006999999999999999
46,0.006999999999999999,-0.027000000000000003,0.049,-0.005
47,0.024,-0.006999999999999999,-0.046,-0.039
48,0.055999999999999994,-0.076,0.032,-0.034
49,0.054000000000000006,-0.01,0.046,-0.037000000000000005
50,0.0,0.068,0.073,0.002
51,0.006999999999999999,-0.071,-0.061,0.015
52,0.066,-0.022000000000000002,-0.068,-0.032
53,0.024,-0.107,0.127,-0.066
54,-0.034,-0.076,0.156,-0.022000000000000002
55,-0.076,-0.078,-0.085,-0.037000000000000005
56,-0.015,0.012,-0.183,0.02
57,0.066,-0.046,0.13699999999999998,0.059000000000000004
58,0.032,-0.01,0.129,-0.02
59,0.061,-0.024,-0.068,-0.085
60,0.042,-0.046,-0.139,-0.105
61,0.08800000000000001,0.042,-0.039,0.022000000000000002
62,0.054000000000000006,0.08800000000000001,0.037000000000000005,0.054000000000000006
63,0.02,0.17300000000000001,0.022000000000000002,0.017
64,0.044000000000000004,-0.006999999999999999,-0.061,-0.083
65,0.034,0.037000000000000005,-0.068,-0.132
66,0.028999999999999998,0.024,0.028999999999999998,-0.098
67,0.028999999999999998,0.02,0.122,0.017
68,0.051,0.037000000000000005,-0.02,0.055999999999999994
69,0.059000000000000004,-0.032,0.017,-0.015
70,-0.005,0.051,-0.046,-0.055999999999999994
71,-0.046,-0.055999999999999994,-0.042,-0.039
72,0.015,0.015,0.022000000000000002,0.051
73,0.107,-0.068,0.039,0.054000000000000006
74,0.129,-0.002,0.017,0.046
75,-0.083,-0.09,-0.01,-0.02
76,-0.239,-0.068,0.006999999999999999,-0.061
77,-0.159,-0.044000000000000004,-0.012,0.022000000000000002
78,-0.006999999999999999,-0.034,0.061,0.034
79,-0.044000000000000004,-0.154,0.037000000000000005,0.098
80,0.12,-0.22899999999999998,-0.059000000000000004,0.044000000000000004
81,0.132,0.01,-0.078,0.037000000000000005
82,0.0,0.032,0.006999999999999999,-0.005
83,0.028999999999999998,0.18100000000000002,0.083,0.08800000000000001
84,-0.02,0.027000000000000003,0.006999999999999999,0.049
85,0.037000000000000005,0.005,-0.068,-0.055999999999999994
86,0.125,-0.129,-0.01,-0.068
87,-0.051,0.017,0.13699999999999998,-0.09300000000000001
88,-0.18600000000000003,0.066,-0.078,-0.071
89,-0.16399999999999998,0.12,-0.127,-0.071
90,0.039,0.13699999999999998,-0.055999999999999994,-0.044000000000000004
91,0.256,0.0,0.044000000000000004,-0.049
92,0.134,-0.061,0.01,0.002
93,0.02,-0.107,-0.042,-0.024
94,0.044000000000000004,-0.044000000000000004,-0.002,0.046
95,0.08800000000000001,-0.071,0.015,0.027000000000000003
96,0.012,-0.039,-0.068,-0.015
97,-0.171,-0.08800000000000001,0.012,0.02
98,-0.061,-0.073,-0.044000000000000004,0.01
99,0.0,-0.151,-0.006999999999999999,-0.059000000000000004
100,-0.1,-0.11,-0.051,-0.012
101,-0.039,-0.139,-0.027000000000000003,0.076
102,0.085,-0.012,0.1,0.02
103,0.13699999999999998,0.13699999999999998,-0.032,0.039
104,0.1,0.042,-0.076,0.002
105,0.168,0.032,-0.073,0.015
106,0.125,0.0,0.105,-0.044000000000000004
107,0.066,0.1,-0.028999999999999998,-0.005
108,0.049,0.13699999999999998,-0.159,0.01
109,0.051,0.028999999999999998,-0.13699999999999998,0.012
110,-0.054000000000000006,0.076,0.002,-0.039
111,-0.09,-0.034,-0.028999999999999998,-0.02
112,-0.132,-0.039,-0.054000000000000006,-0.024
113,-0.055999999999999994,-0.09,-0.11,-0.006999999999999999
114,-0.059000000000000004,-0.083,-0.151,0.132
115,-0.055999999999999994,-0.061,0.205,0.046
116,-0.032,-0.081,0.078,0.024
117,-0.081,-0.142,-0.051,-0.017
118,-0.071,-0.061,-0.046,0.046
119,-0.051,-0.154,0.205,0.09300000000000001
120,-0.068,-0.063,0.0,0.032
121,-0.032,-0.044000000000000004,-0.17800000000000002,-0.049
122,-0.10300000000000001,-0.059000000000000004,-0.122,-0.071
123,-0.027000000000000003,-0.042,0.039,-0.024
124,0.139,-0.054000000000000006,-0.005,0.042
125,0.19,0.054000000000000006,-0.076,0.049
126,0.085,0.022000000000000002,-0.071,0.005
127,-0.015,-0.034,0.017,0.017
128,-0.012,-0.071,-0.01,-0.006999999999999999
129,0.022000000000000002,0.012,-0.159,-0.015
130,0.066,-0.08800000000000001,-0.02,0.037000000000000005
131,0.061,-0.037000000000000005,0.129,0.002
132,-0.017,0.034,0.098,-0.034
133,0.002,0.059000000000000004,-0.14400000000000002,-0.066
134,-0.046,-0.115,-0.115,-0.051
135,0.006999999999999999,-0.034,0.042,0.0
136,-0.044000000000000004,0.0,0.11699999999999999,0.0
137,-0.068,-0.049,-0.01,-0.037000000000000005
138,-0.066,-0.095,0.078,-0.017
139,-0.073,-0.134,0.044000000000000004,-0.032
140,-0.11699999999999999,-0.034,-0.017,-0.005
141,-0.049,0.02,0.034,-0.006999999999999999
142,-0.051,-0.012,-0.073,-0.044000000000000004
143,-0.002,-0.034,-0.054000000000000006,0.028999999999999998
144,0.037000000000000005,0.046,-0.039,0.095
145,0.032,-0.006999999999999999,-0.051,0.10300000000000001
146,0.015,-0.059000000000000004,-0.11199999999999999,0.022000000000000002
147,0.11199999999999999,0.015,-0.105,-0.044000000000000004
148,0.068,0.006999999999999999,-0.205,-0.098
149,0.027000000000000003,0.11199999999999999,-0.055999999999999994,-0.01
150,0.061,0.049,0.034,0.028999999999999998
151,0.027000000000000003,0.054000000000000006,0.068,0.034
152,0.027000000000000003,-0.006999999999999999,0.085,0.012
153,-0.015,-0.006999999999999999,-0.022000000000000002,-0.046
154,-0.1,-0.032,0.132,-0.039
155,-0.115,-0.068,0.039,0.022000000000000002
156,0.015,0.049,-0.017,0.08800000000000001
